id;name;category;description
1;generate Identity Wooden;ACTIVITY;object-oriented
2;orchestration Unbranded high-level;CATERER;interface Lead XML
3;invoice;CATERER;Internal Wooden
4;Arizona;VENUE;Chair yellow
5;infrastructures extranet Streamlined;CATERER;Horizontal 24/7
6;face array Morocco;ACTIVITY;invoice Meadows
7;data-warehouse Clothing;VENUE;transmit Rubber matrix
8;Games Internal;VENUE;Bacon
9;Crest generation cross-platform;CATERER;transmitting Tasty protocol
10;calculating;ACTIVITY;structure back-end plum
