id;name;company_name;location;rating;description;contact
1;Salad Self-enabling;Fresh Salad Alaska;action-items Manager reboot;2;impactful;markets Automated
2;Brooks Handcrafted;Dong;white Taka neural-net;5;architectures visionary Customer;EXE copy monetize
3;transition Sausages Pizza;Cloned Lake Baby;red Senior Gorgeous;5;Toys copying Bedfordshire;Solutions
4;administration Meadow;withdrawal contextually-based driver;synthesize robust;4;Strategist clear-thinking;Designer Concrete grey
5;Automotive USB Account;Fort Applications;Automated calculate;1;Steel Nevada leverage;specifically dot-com
6;Wooden Bacon maximize;withdrawal;JBOD Innovative Books;0;Generic coherent;Tunnel Savings
7;Spring;Cyprus;Hawaii;1;Monitored programming quantifying;repurpose Falls
8;Strategist capacitor;invoice;Designer static array;4;Usability generating Sleek;Hungary protocol back
9;deposit PCI Mobility;Internal Account Oregon;Towels Consultant Markets;1;cross-platform channels JBOD;solutions
10;Investment;Tasty seize;Toys;3;Virginia;pixel Sausages
